instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://aims.fao.org/aos/geopolitical.owl#Maldives	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Mali	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Malta	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Marshall_Islands__the	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Mauritania	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Mauritius	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Mexico	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Micronesia__Fed_States_of_	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Monaco	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
http://aims.fao.org/aos/geopolitical.owl#Mongolia	http://aims.fao.org/aos/geopolitical.owl#self_governing	-	-	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#	true	false	true
