instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://betalinkeddata.cbs.nl/cbs/id/concept/Buurt	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/Gemeente_Geografisch	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/IndelingswijzigingWijkenEnBuurten	http://www.w3.org/2004/02/skos/core#Collection	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/IndelingswijzigingWijkenEnBuurten_AfbakeningGewijzigd	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/IndelingswijzigingWijkenEnBuurten_CoderingEnAfbakeningOngewijzigd	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/IndelingswijzigingWijkenEnBuurten_CoderingGewijzigd	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/Land_Geografisch	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/Regio	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/Regiocodering	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
http://betalinkeddata.cbs.nl/cbs/id/concept/Wijk	-	http://www.w3.org/2004/02/skos/core#Concept	http://betalinkeddata.cbs.nl/cbs/id/concept-scheme/cbs	http://betalinkeddata.cbs.nl/def/cbs	http://betalinkeddata.cbs.nl/def/cbs#	http://betalinkeddata.cbs.nl/cbs/id/concept/	false	false	false
