instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/2006/time#Friday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Monday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Saturday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Sunday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Thursday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Tuesday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://www.w3.org/2006/time#Wednesday	http://www.w3.org/2006/time#DayOfWeek	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://www.w3.org/2006/time#	false	false	false
http://bimerr.iot.linkeddata.es/def/occupancy-profile#EnteringRoom	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Event	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#LeavingRoom	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Event	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#StayingInRoom	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Event	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Inaction	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Inaction	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#SetToControlValue	http://bimerr.iot.linkeddata.es/def/occupancy-profile#InteractionConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#TurnOff	http://bimerr.iot.linkeddata.es/def/occupancy-profile#InteractionConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#TurnOn	http://bimerr.iot.linkeddata.es/def/occupancy-profile#InteractionConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Adjustable	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ContinuousControl	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Fixed	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#OnOff	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Operable	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ZoneOnOff	http://bimerr.iot.linkeddata.es/def/occupancy-profile#OperationalModeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Fall	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Season	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Spring	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Season	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Summer	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Season	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Winter	http://bimerr.iot.linkeddata.es/def/occupancy-profile#Season	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Arrival	http://bimerr.iot.linkeddata.es/def/occupancy-profile#StatusTransitionTypeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Departure	http://bimerr.iot.linkeddata.es/def/occupancy-profile#StatusTransitionTypeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ShortTermLeaving	http://bimerr.iot.linkeddata.es/def/occupancy-profile#StatusTransitionTypeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ShortTermVisiting	http://bimerr.iot.linkeddata.es/def/occupancy-profile#StatusTransitionTypeConcept	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ASHRAEAdaptiveComfort	http://bimerr.iot.linkeddata.es/def/occupancy-profile#ThermalNeed	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ASHRAEComfortEnvelop	http://bimerr.iot.linkeddata.es/def/occupancy-profile#ThermalNeed	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#ISOAdaptiveComfort	http://bimerr.iot.linkeddata.es/def/occupancy-profile#ThermalNeed	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Afternoon	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Day	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Evening	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Morning	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Night	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Noon	http://bimerr.iot.linkeddata.es/def/occupancy-profile#TimeOfDay	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	true
http://bimerr.iot.linkeddata.es/def/occupancy-profile#DayLight	https://w3id.org/saref#Property	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	false
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Glare	https://w3id.org/saref#Property	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	false
http://bimerr.iot.linkeddata.es/def/occupancy-profile#Illuminance	https://w3id.org/saref#Property	-	-	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	http://bimerr.iot.linkeddata.es/def/occupancy-profile#	true	false	false
