instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://brt.basisregistraties.overheid.nl/id/begrip/WindmolenKorenmolen	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Windmolentje	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/WindmolenWatermolen	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Windturbine	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Windturbinepark	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Winkelfunctie	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Woonfunctie	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Woonkern	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Woonwagencentrum	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
http://brt.basisregistraties.overheid.nl/id/begrip/Zand	-	http://www.w3.org/2004/02/skos/core#Concept	http://brt.basisregistraties.overheid.nl/id/begrippenkader/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl	http://brt.basisregistraties.overheid.nl/def/top10nl#	http://brt.basisregistraties.overheid.nl/id/begrip/	false	false	false
