instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://comicmeta.org/vocab/Hardcover	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/PerfectBound	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/SaddleStitched	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/SewnBound	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Softcover	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Squarebound	http://comicmeta.org/cbo/Binding	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/BronzeAge	http://comicmeta.org/cbo/ComicAge	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GoldenAge	http://comicmeta.org/cbo/ComicAge	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/ModernAge	http://comicmeta.org/cbo/ComicAge	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/SilverAge	http://comicmeta.org/cbo/ComicAge	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Fair	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Fine	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FN	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FN_VF	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FN-	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FN+	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FR	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/FR_GD	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GD	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GD_VG	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GD-	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GD+	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/GM	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Good	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/Mint	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/MT	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
http://comicmeta.org/vocab/NearMint	http://comicmeta.org/cbo/Condition	-	-	http://comicmeta.org/cbo/	http://comicmeta.org/cbo	http://comicmeta.org/vocab/	false	false	true
