instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
t386935	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386937	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386939	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386941	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386945	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386947	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386949	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386951	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386953	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386955	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386957	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386959	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386962	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386964	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386966	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386968	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386970	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386972	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386974	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386976	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386979	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386981	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386983	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386985	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386987	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386989	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386991	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386993	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
t386996	-	-	-	http://data.vlaanderen.be/ns/persoon	http://data.vlaanderen.be/ns/persoon#		false	false	false
