instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://dataid.dbpedia.org/ns/core#NoAccess	http://dataid.dbpedia.org/ns/core#AccessLevel	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#PrivateAccess	http://dataid.dbpedia.org/ns/core#AccessLevel	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#PublicAccess	http://dataid.dbpedia.org/ns/core#AccessLevel	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#SemiPrivateAccess	http://dataid.dbpedia.org/ns/core#AccessLevel	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#GuestAgent	http://dataid.dbpedia.org/ns/core#Agent	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#Contact	http://dataid.dbpedia.org/ns/core#AgentRole	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#Contributor	http://dataid.dbpedia.org/ns/core#AgentRole	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#Creator	http://dataid.dbpedia.org/ns/core#AgentRole	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#Guest	http://dataid.dbpedia.org/ns/core#AgentRole	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
http://dataid.dbpedia.org/ns/core#Maintainer	http://dataid.dbpedia.org/ns/core#AgentRole	-	-	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	http://dataid.dbpedia.org/ns/core#	true	false	true
