instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Appetizer	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#MealCourseType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Baking	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Boiling	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Carbohydrate	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Nutrient	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Cholesterol	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Nutrient	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Cutting	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingTaskType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DairyFreeDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DiabeticDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#Easy	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#CookingDifficultyCategory	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#EggFreeDiet	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#DietType	-	-	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	http://kmi.open.ac.uk/projects/smartproducts/ontologies/food.owl#	true	false	true
