instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://lod.nl.go.kr/resource/cdt_bm	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_gm	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_jm	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_li	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_pa	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_pm	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/cdt_sm	http://lod.nl.go.kr/ontology/ContinuousDataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_ca	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_cp	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_dm	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_dp	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_gm	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_ha	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_hr	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_jo	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_ma	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_np	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
http://lod.nl.go.kr/resource/dt_rb	http://lod.nl.go.kr/ontology/DataType	-	-	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/ontology/	http://lod.nl.go.kr/resource/	false	false	true
