instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.amiCapable	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.amiDisabled	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.billingApproved	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.enabled	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.nonAmi	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.nonMetered	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind.operable	http://ns.cerise-project.nl/energy/def/cim-smartgrid#AmiBillingReadyKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.commercialIndustrial	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.energyServiceScheduler	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.energyServiceSupplier	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.internalUse	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.other	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.pumpingLoad	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.residential	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.residentialAndCommercial	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.residentialAndStreetlight	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.residentialFarmService	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.residentialStreetlightOthers	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind.windMachine	http://ns.cerise-project.nl/energy/def/cim-smartgrid#CustomerKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.autonomousDst	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.demandResponse	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.electricMetering	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.gasMetering	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.metrology	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.onRequestRead	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.outageHistory	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.relaysProgramming	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.reverseFlow	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind.waterMetering	http://ns.cerise-project.nl/energy/def/cim-smartgrid#EndDeviceFunctionKind	-	-	http://ns.cerise-project.nl/energy/def/cim-smartgrid	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	http://ns.cerise-project.nl/energy/def/cim-smartgrid#	true	false	true
