instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://ontologi.es/doap-bugs#confirmed	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#critical	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#fixed	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#in-progress	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#invalid	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#major	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#minor	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#new	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#third-party	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#trivial	http://ontologi.es/doap-bugs#SeverityLevel	-	http://ontologi.es/doap-bugs#SEVERITY_LEVELS	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#wont-fix	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
http://ontologi.es/doap-bugs#works-for-me	http://ontologi.es/doap-bugs#StatusType	-	http://ontologi.es/doap-bugs#STATUS_TYPES	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	http://ontologi.es/doap-bugs#	true	false	true
