instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://ontologi.es/doap-deps#CpanId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#DebianId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#GemId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#MvnId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#PipId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#RpmId	http://ontologi.es/doap-deps#IdentifierScheme	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#Recommended	http://ontologi.es/doap-deps#Level	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#Required	http://ontologi.es/doap-deps#Level	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#Suggested	http://ontologi.es/doap-deps#Level	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#BuildPhase	http://ontologi.es/doap-deps#Phase	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#ConfigurePhase	http://ontologi.es/doap-deps#Phase	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#DevelopmentPhase	http://ontologi.es/doap-deps#Phase	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#RuntimePhase	http://ontologi.es/doap-deps#Phase	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
http://ontologi.es/doap-deps#TestPhase	http://ontologi.es/doap-deps#Phase	-	-	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	http://ontologi.es/doap-deps#	true	false	true
