instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://provenanceweb.org/format/mime/text/xml	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#MetadataFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/text/	false	false	true
http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#esri-grid	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#	false	false	true
http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#esri-shapefile	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#	false	false	true
http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#GeoTIFF	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#	false	false	true
http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#hdf5	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#	false	false	true
http://provenanceweb.org/format/mime/image/gif	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/image/	false	false	true
http://provenanceweb.org/format/mime/image/jpeg	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/image/	false	false	true
http://provenanceweb.org/format/mime/image/png	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/image/	false	false	true
http://provenanceweb.org/format/mime/image/tiff	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/image/	false	false	true
http://provenanceweb.org/format/mime/image/vnd.wap.wbmp	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/image/	false	false	true
http://provenanceweb.org/format/mime/text/csv	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl#PayloadFormat	-	-	http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-data.owl	http://ontology.cybershare.utep.edu/ELSEWeb/	http://provenanceweb.org/format/mime/text/	false	false	true
