instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://ontology.ethereal.cz/irao/accessibility#API	http://ontology.ethereal.cz/irao/Accessibility	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/accessibility#	false	false	true
http://ontology.ethereal.cz/irao/accessibility#Download	http://ontology.ethereal.cz/irao/Accessibility	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/accessibility#	false	false	true
http://ontology.ethereal.cz/irao/accessibility#OpenData	http://ontology.ethereal.cz/irao/Accessibility	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/accessibility#	false	false	true
http://ontology.ethereal.cz/irao/accessibility#OpenSource	http://ontology.ethereal.cz/irao/Accessibility	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/accessibility#	false	false	true
http://ontology.ethereal.cz/irao/designquality#FAIR	http://ontology.ethereal.cz/irao/DesignQuality	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/designquality#	false	false	true
http://ontology.ethereal.cz/irao/designquality#Reuse	http://ontology.ethereal.cz/irao/DesignQuality	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/designquality#	false	false	true
http://ontology.ethereal.cz/irao/developmentstatus#alpha	http://ontology.ethereal.cz/irao/DevelopmentStatus	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/developmentstatus#	false	false	true
http://ontology.ethereal.cz/irao/developmentstatus#beta	http://ontology.ethereal.cz/irao/DevelopmentStatus	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/developmentstatus#	false	false	true
http://ontology.ethereal.cz/irao/developmentstatus#release	http://ontology.ethereal.cz/irao/DevelopmentStatus	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/developmentstatus#	false	false	true
http://ontology.ethereal.cz/irao/openstandard#RDF	http://ontology.ethereal.cz/irao/OpenStandard	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/openstandard#	false	false	true
http://ontology.ethereal.cz/irao/openstandard#RDFS	http://ontology.ethereal.cz/irao/OpenStandard	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/openstandard#	false	false	true
http://ontology.ethereal.cz/irao/openstandard#SKOS	http://ontology.ethereal.cz/irao/OpenStandard	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/openstandard#	false	false	true
http://ontology.ethereal.cz/irao/openstandard#SPARQL	http://ontology.ethereal.cz/irao/OpenStandard	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/openstandard#	false	false	true
http://ontology.ethereal.cz/irao/openstandard#XML	http://ontology.ethereal.cz/irao/OpenStandard	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/openstandard#	false	false	true
http://ontology.ethereal.cz/irao/repositorytype#KnowledgeBase	http://ontology.ethereal.cz/irao/RepositoryType	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/repositorytype#	false	false	true
http://ontology.ethereal.cz/irao/repositorytype#VersionControlHosting	http://ontology.ethereal.cz/irao/RepositoryType	-	-	http://ontology.ethereal.cz/irao	http://ontology.ethereal.cz/irao/	http://ontology.ethereal.cz/irao/repositorytype#	false	false	true
