instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://open-multinet.info/ontology/omn-lifecycle#Active	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Allocated	http://open-multinet.info/ontology/omn-lifecycle#ReservationState	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Cleaned	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Error	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Initialized	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Installed	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#NotYetInitialized	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Pending	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Preinit	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Provisioned	http://open-multinet.info/ontology/omn-lifecycle#ReservationState	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Ready	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Removing	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Started	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Stopped	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
http://open-multinet.info/ontology/omn-lifecycle#Stopping	http://open-multinet.info/ontology/omn-lifecycle#State	-	-	http://open-multinet.info/ontology/omn-lifecycle	http://open-multinet.info/ontology/omn-lifecycle#	http://open-multinet.info/ontology/omn-lifecycle#	true	false	true
