instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://premon.fbk.eu/ontology/nb#argm-adv	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-cau	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-dir	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-dis	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-ext	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-loc	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-mnr	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-neg	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-pnc	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-prd	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#argm-tmp	http://premon.fbk.eu/ontology/nb#Modifier	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg0	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg1	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg2	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg3	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg4	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#arg5	http://premon.fbk.eu/ontology/nb#NumberedArgument	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#tag-prd	http://premon.fbk.eu/ontology/nb#Tag	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#tag-ref	http://premon.fbk.eu/ontology/nb#Tag	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
http://premon.fbk.eu/ontology/nb#tag-support	http://premon.fbk.eu/ontology/nb#Tag	-	-	http://premon.fbk.eu/ontology/nb	http://premon.fbk.eu/ontology/nb#	http://premon.fbk.eu/ontology/nb#	true	false	true
