instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://premon.fbk.eu/ontology/pb#perfect	http://premon.fbk.eu/ontology/pb#Aspect	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#progressive	http://premon.fbk.eu/ontology/pb#Aspect	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#full	http://premon.fbk.eu/ontology/pb#Form	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#gerund	http://premon.fbk.eu/ontology/pb#Form	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#infinitive	http://premon.fbk.eu/ontology/pb#Form	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#participle	http://premon.fbk.eu/ontology/pb#Form	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-adj	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-adv	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-cau	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-com	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-cxn	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-dir	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-dis	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-dsp	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-ext	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-gol	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-loc	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-lvb	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-mnr	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-mod	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-neg	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-pnc	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-prd	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-prn	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-prp	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-rcl	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-rec	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-slc	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-tmp	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
http://premon.fbk.eu/ontology/pb#argm-vsp	http://premon.fbk.eu/ontology/pb#Modifier	-	-	http://premon.fbk.eu/ontology/pb	http://premon.fbk.eu/ontology/pb#	http://premon.fbk.eu/ontology/pb#	true	false	true
