instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://premon.fbk.eu/ontology/vn#cause	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#coAgent	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#coPatient	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#coTheme	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#destination	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#duration	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#experiencer	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#extent	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#finalTime	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#frequency	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#goal	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#initialLocation	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#initialTime	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#instrument	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#location	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#material	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#participant	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#patient	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#pivot	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#place	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#predicate	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#product	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#recipient	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#reflexive	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#result	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#source	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#stimulus	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#theme	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#time	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#topic	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#trajectory	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#undergoer	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#value	http://premon.fbk.eu/ontology/vn#ThematicRole	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#np_auxnpType	http://premon.fbk.eu/ontology/vn#AuxnpType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#oblique_auxnpType	http://premon.fbk.eu/ontology/vn#AuxnpType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#oblique1_auxnpType	http://premon.fbk.eu/ontology/vn#AuxnpType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#oblique2_auxnpType	http://premon.fbk.eu/ontology/vn#AuxnpType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#duringEventArg	http://premon.fbk.eu/ontology/vn#EventPredArgType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#endEventArg	http://premon.fbk.eu/ontology/vn#EventPredArgType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#resultEventArg	http://premon.fbk.eu/ontology/vn#EventPredArgType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#startEventArg	http://premon.fbk.eu/ontology/vn#EventPredArgType	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#dest_conf_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#dest_dir_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#dest_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#dir_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#loc_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#path_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#plural_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
http://premon.fbk.eu/ontology/vn#spatial_prp	http://premon.fbk.eu/ontology/vn#PrepositionRestrictionProperty	-	-	http://premon.fbk.eu/ontology/vn	http://premon.fbk.eu/ontology/vn#	http://premon.fbk.eu/ontology/vn#	true	false	true
