instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://promsns.org/def/agr#MAY	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#MUST	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#MUST_NOT	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#OPTIONAL	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#RECOMMENDED	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#REQUIRED	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#SHALL	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#SHALL_NOT	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#SHOULD	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
http://promsns.org/def/agr#SHOULD_NOT	http://promsns.org/def/agr#RequirementLevel	-	-	http://promsns.org/def/agr	http://promsns.org/def/agr#	http://promsns.org/def/agr#	true	false	true
