instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.obolibrary.org/obo/OBI_0000958	http://purl.obolibrary.org/obo/OBI_0000963	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000958	t378259	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	false
http://purl.obolibrary.org/obo/OBI_0000979	http://purl.obolibrary.org/obo/OBI_0000963	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000979	t431942	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	false
http://purl.obolibrary.org/obo/OBI_0000998	http://purl.obolibrary.org/obo/OBI_0000963	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000998	t373796	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	false
http://purl.obolibrary.org/obo/OBI_0001004	http://purl.obolibrary.org/obo/OBI_0001000	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000775	http://purl.obolibrary.org/obo/OBI_0000700	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000761	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000766	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000768	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000771	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000772	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000773	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000774	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000777	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000782	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000783	http://purl.obolibrary.org/obo/OBI_0000713	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000778	http://purl.obolibrary.org/obo/OBI_0000726	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000762	http://purl.obolibrary.org/obo/OBI_0000727	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000763	http://purl.obolibrary.org/obo/OBI_0200033	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000764	http://purl.obolibrary.org/obo/OBI_0200041	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000755	http://purl.obolibrary.org/obo/OBI_0200042	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0000760	http://purl.obolibrary.org/obo/OBI_0200051	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002311	http://purl.obolibrary.org/obo/OBI_0002310	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002312	http://purl.obolibrary.org/obo/OBI_0002310	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002313	http://purl.obolibrary.org/obo/OBI_0002310	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002315	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002316	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002317	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002318	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002319	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002320	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002321	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002322	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002323	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002324	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002325	http://purl.obolibrary.org/obo/OBI_0002314	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002327	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002328	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002329	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002330	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002331	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002332	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002333	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002334	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002335	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002336	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002337	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002338	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002339	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002340	http://purl.obolibrary.org/obo/OBI_0002326	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002342	http://purl.obolibrary.org/obo/OBI_0002341	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002343	http://purl.obolibrary.org/obo/OBI_0002341	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002344	http://purl.obolibrary.org/obo/OBI_0002341	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002345	http://purl.obolibrary.org/obo/OBI_0002341	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
http://purl.obolibrary.org/obo/OBI_0002346	http://purl.obolibrary.org/obo/OBI_0002341	-	-	http://purl.obolibrary.org/obo/obi.owl	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/	true	false	true
