instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/semsur/Ngonga_Ngomo	http://purl.org/dc/terms/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Ngonga_Ngomo	http://schema.org/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Ngonga_Ngomo	http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Ngonga_Ngomo	http://www.w3.org/2000/10/swap/pim/contact#Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Ngonga_Ngomo	http://xmlns.com/foaf/0.1/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Ngonga_Ngomo	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://purl.org/dc/terms/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://schema.org/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://www.w3.org/2000/10/swap/pim/contact#Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://xmlns.com/foaf/0.1/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nikolas_Mitrou	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://purl.org/dc/terms/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://schema.org/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://www.w3.org/2000/10/swap/pim/contact#Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://xmlns.com/foaf/0.1/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Nur_Aini_Rakhmawati	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://purl.org/dc/terms/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://schema.org/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://www.w3.org/2000/10/swap/pim/contact#Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://xmlns.com/foaf/0.1/Agent	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
http://purl.org/semsur/Oguz_Dikenelli	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/SemSur/	http://purl.org/SemSur/	http://purl.org/semsur/	false	false	false
