instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/ctic/empleo/oferta#esquemaCategorias-administracion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-agricultura_alimentacion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-almacenes	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-arquitectura_diseño	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-comercial_ventas	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-comunicacion_cultura	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-construccion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-derecho_psicologia	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-directivos	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-educacion_serviciossociales	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-electricidad_energia	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-industria	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-informacion	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-informatica_telecomunicaciones	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-ingenieria_ciencias	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-limpieza_cuidadopersonas	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-metal_mecanica	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-peluqueria_estetica	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-primer_empleo	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-salud_deporte	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-transporte	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-turismo_hosteleria	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaCategorias-vigilancia_servicios	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaCategorias	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaTiposContrato-laboral_indefinido	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaTiposContrato	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaTiposContrato-laboral_temporal	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaTiposContrato	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
http://purl.org/ctic/empleo/oferta#esquemaTiposContrato-mercantil	-	http://www.w3.org/2004/02/skos/core#Concept	http://purl.org/ctic/empleo/oferta#esquemaTiposContrato	http://purl.org/ctic/empleo/oferta	http://purl.org/ctic/empleo/oferta#	http://purl.org/ctic/empleo/oferta#	true	false	false
