instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/cwmo/#CollectiveMode	http://purl.org/cwmo/#ApplicationMode	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#IndividualMode	http://purl.org/cwmo/#ApplicationMode	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#AM	http://purl.org/cwmo/#ContextType	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#NPD	http://purl.org/cwmo/#ContextType	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#PSI	http://purl.org/cwmo/#ContextType	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Strategy	http://purl.org/cwmo/#ContextType	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#ConceptGeneration	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Definition	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#EvalAndRafinement	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#IdeaEvaluation	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Ideation	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#ImplementAndMonitoring	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Implementation	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#ProblemAnalysis	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Synthesis	http://purl.org/cwmo/#CreativePhase	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#ABTesting	http://purl.org/cwmo/#CreativeTechnique	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#AffinityDiagramming	http://purl.org/cwmo/#CreativeTechnique	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#BendItShapeIt	http://purl.org/cwmo/#CreativeTechnique	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#Bodystorming	http://purl.org/cwmo/#CreativeTechnique	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
http://purl.org/cwmo/#MindMapping	http://purl.org/cwmo/#CreativeTechnique	-	-	http://purl.org/cwmo/#	http://purl.org/cwmo/#	http://purl.org/cwmo/#	true	false	true
