instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/olia/ubyCat.owl#accusative	http://purl.org/olia/ubyCat.owl#Case	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#dative	http://purl.org/olia/ubyCat.owl#Case	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#genitive	http://purl.org/olia/ubyCat.owl#Case	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#nominative	http://purl.org/olia/ubyCat.owl#Case	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#thatType	http://purl.org/olia/ubyCat.owl#Complementizer	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#whType	http://purl.org/olia/ubyCat.owl#Complementizer	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#yesNoType	http://purl.org/olia/ubyCat.owl#Complementizer	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#core	http://purl.org/olia/ubyCat.owl#CoreType	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#coreUnexpressed	http://purl.org/olia/ubyCat.owl#CoreType	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
http://purl.org/olia/ubyCat.owl#extraThematic	http://purl.org/olia/ubyCat.owl#CoreType	-	-	http://purl.org/olia/ubyCat.owl	http://purl.org/olia/ubyCat.owl#	http://purl.org/olia/ubyCat.owl#	true	false	true
