instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
t160073	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160074	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160075	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160076	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160077	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160078	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160079	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160080	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160081	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160082	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160083	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160084	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160085	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160086	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160087	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160088	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160089	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160090	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160091	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160092	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160093	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160094	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160095	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160096	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160097	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160098	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160099	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160100	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160101	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160102	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160103	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160104	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160105	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160106	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160110	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160111	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160112	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160113	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160114	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160115	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160116	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160117	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160118	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160119	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160120	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160121	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160122	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160123	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160124	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160125	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160126	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160127	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160128	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160129	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160130	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160131	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160132	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
t160133	-	-	-	http://purl.org/ontology/chord/	http://purl.org/ontology/chord/		false	false	false
