instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://vocab.org/frbr/core.html	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.html	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.json	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.json	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.rdf	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.rdf	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.turtle	http://purl.org/dc/dcmitype/Text	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://vocab.org/frbr/core.turtle	http://xmlns.com/foaf/0.1/Document	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://vocab.org/frbr/	false	false	false
http://creativecommons.org/licenses/by/2.0/uk/	http://web.resource.org/cc/License	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://creativecommons.org/licenses/by/2.0/uk/	false	false	false
http://web.resource.org/cc/DerivativeWorks	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/	false	false	false
http://web.resource.org/cc/Distribution	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/	false	false	false
http://web.resource.org/cc/Reproduction	http://web.resource.org/cc/Permission	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/	false	false	false
http://web.resource.org/cc/Attribution	http://web.resource.org/cc/Requirement	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/	false	false	false
http://web.resource.org/cc/Notice	http://web.resource.org/cc/Requirement	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://web.resource.org/cc/	false	false	false
http://bruce.darcus.name/about#me	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://bruce.darcus.name/about#	false	false	false
http://iandavis.com/id/me	http://xmlns.com/foaf/0.1/Person	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#	http://iandavis.com/id/	false	false	false
t159531	-	-	-	http://purl.org/vocab/frbr/core	http://purl.org/vocab/frbr/core#		false	false	false
