instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.uniprot.org/core/Induction_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Initiator_Methionine_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Interaction	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Intramembrane_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Journal_Citation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Kinetics_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Known_Sequence	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Lipidation_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Mass_Measurement_Method	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Mass_Spectrometry_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Metal_Binding_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Method	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Modification_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Modified_Residue_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Modified_Sequence	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Molecule	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Molecule_Processing_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Motif_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/MRNA	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Mutagenesis_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
http://purl.uniprot.org/core/Natural_Variant_Annotation	-	-	-	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	http://purl.uniprot.org/core/	true	false	false
