instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://qudt.org/schema/qudt/Aspect	http://qudt.org/schema/qudt/AspectClass	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/Verifiable	http://qudt.org/schema/qudt/AspectClass	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/BooleanEncoding	http://qudt.org/schema/qudt/BooleanEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/CharEncoding	http://qudt.org/schema/qudt/BooleanEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/CharEncoding	http://qudt.org/schema/qudt/CharEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/OctetEncoding	http://qudt.org/schema/qudt/BooleanEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/OctetEncoding	http://qudt.org/schema/qudt/ByteEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/ShortUnsignedIntegerEncoding	http://qudt.org/schema/qudt/BooleanEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/ShortUnsignedIntegerEncoding	http://qudt.org/schema/qudt/IntegerEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/CT_COUNTABLY-INFINITE	http://qudt.org/schema/qudt/CardinalityType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/CT_FINITE	http://qudt.org/schema/qudt/CardinalityType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/CT_UNCOUNTABLE	http://qudt.org/schema/qudt/CardinalityType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/ISO8601-UTCDateTime-BasicFormat	http://qudt.org/schema/qudt/DateTimeStringEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/BigEndian	http://qudt.org/schema/qudt/EndianType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/LittleEndian	http://qudt.org/schema/qudt/EndianType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/DoublePrecisionEncoding	http://qudt.org/schema/qudt/FloatingPointEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/IEEE754_1985RealEncoding	http://qudt.org/schema/qudt/FloatingPointEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/SinglePrecisionRealEncoding	http://qudt.org/schema/qudt/FloatingPointEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/LongUnsignedIntegerEncoding	http://qudt.org/schema/qudt/IntegerEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/ShortSignedIntegerEncoding	http://qudt.org/schema/qudt/IntegerEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/SignedIntegerEncoding	http://qudt.org/schema/qudt/IntegerEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/UnsignedIntegerEncoding	http://qudt.org/schema/qudt/IntegerEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/PartiallyOrdered	http://qudt.org/schema/qudt/OrderedType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/TotallyOrdered	http://qudt.org/schema/qudt/OrderedType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/Unordered	http://qudt.org/schema/qudt/OrderedType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/Wikipedia	http://qudt.org/schema/qudt/Organization	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/SIGNED	http://qudt.org/schema/qudt/SignednessType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/UNSIGNED	http://qudt.org/schema/qudt/SignednessType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/UTF16-StringEncoding	http://qudt.org/schema/qudt/StringEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
http://qudt.org/schema/qudt/UTF8-StringEncoding	http://qudt.org/schema/qudt/StringEncodingType	-	-	http://qudt.org/schema/qudt	http://qudt.org/schema/qudt/	http://qudt.org/schema/qudt/	true	false	true
