instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://id.insee.fr/codes/geo/typeDEPCI/CA	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/	false	false	true
http://id.insee.fr/codes/geo/typeDEPCI/CC	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/	false	false	true
http://id.insee.fr/codes/geo/typeDEPCI/CU	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/	false	false	true
http://id.insee.fr/codes/geo/typeDEPCI/SAN	http://rdf.insee.fr/def/geo#TypeDEPCI	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDEPCI/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/	false	false	true
http://id.insee.fr/codes/geo/typeDIRIS/A	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/	false	false	true
http://id.insee.fr/codes/geo/typeDIRIS/D	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/	false	false	true
http://id.insee.fr/codes/geo/typeDIRIS/H	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/	false	false	true
http://id.insee.fr/codes/geo/typeDIRIS/Z	http://rdf.insee.fr/def/geo#TypeDIRIS	http://www.w3.org/2004/02/skos/core#Concept	http://id.insee.fr/codes/geo/typeDIRIS/liste	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/	false	false	true
http://creativecommons.org/licenses/by/3.0/	http://creativecommons.org/ns#License	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://creativecommons.org/licenses/by/3.0/	false	false	false
http://www.geonames.org/ontology#A.ADM1	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#	false	false	false
http://www.geonames.org/ontology#A.ADM2	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#	false	false	false
http://www.geonames.org/ontology#A.ADM3	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#	false	false	false
http://www.geonames.org/ontology#A.ADM4	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#	false	false	false
http://www.geonames.org/ontology#A.PCLI	http://www.geonames.org/ontology#Code	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://www.geonames.org/ontology#	false	false	false
http://dbpedia.org/resource/INSEE	http://xmlns.com/foaf/0.1/Organization	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://dbpedia.org/resource/	false	false	false
t157186	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#		false	false	false
t157187	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#		false	false	false
http://id.insee.fr/codes/geo/typeDEPCI/liste	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDEPCI/	false	false	false
http://id.insee.fr/codes/geo/typeDIRIS/liste	-	-	-	http://rdf.insee.fr/def/geo	http://rdf.insee.fr/def/geo#	http://id.insee.fr/codes/geo/typeDIRIS/	false	false	false
