instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/dc/terms/DCMIType	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/DDC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/IMT	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/LCC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/LCSH	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/MESH	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/NLM	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/TGN	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/UDC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/Agent	http://purl.org/dc/terms/AgentClass	-	-	http://reference.data.gov.au/def/ont/dataset	http://reference.data.gov.au/def/ont/dataset#	http://purl.org/dc/terms/	false	false	false
