instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://schema.mobivoc.org/SAE_J1772-2009	http://schema.mobivoc.org/PlugType	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/SEV1011_Type_J	http://schema.mobivoc.org/PlugType	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Tesla_Supercharger	http://schema.mobivoc.org/PlugType	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/XLR4	http://schema.mobivoc.org/PlugType	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/CarsharingUsers	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Families	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Inhabitants	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/PersonsWithDisabledParkingPermit	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/TaxiDrivers	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Women	http://schema.mobivoc.org/UserGroup	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Bicycle	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/BusOrCoach	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/Car	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/ElectricVehicle	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/Motorbike	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/RecreationalVehicle	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/Truck	http://schema.org/Vehicle	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	false
http://schema.mobivoc.org/Allow	http://schema.mobivoc.org/Action	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
http://schema.mobivoc.org/Restrict	http://schema.mobivoc.org/Action	-	-	http://schema.mobivoc.org/	http://schema.mobivoc.org/	http://schema.mobivoc.org/	true	false	true
