instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://softeng.polito.it/rsctx#Home	http://softeng.polito.it/rsctx#AnchorPoint	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#WorkPlace	http://softeng.polito.it/rsctx#AnchorPoint	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#anger	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#anxiety	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#boredom	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#confusion	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#disgust	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#dread	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#excitement	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#fear	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#happiness	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#hate	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#hope	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#joy	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#love	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#pride	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#relief	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#sadness	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#satisfaction	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#shame	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#worry	http://softeng.polito.it/rsctx#EmotionalState	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#exahust	http://softeng.polito.it/rsctx#Fitness	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#good	http://softeng.polito.it/rsctx#Fitness	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
http://softeng.polito.it/rsctx#great	http://softeng.polito.it/rsctx#Fitness	-	-	http://softeng.polito.it/rsctx	http://softeng.polito.it/rsctx#	http://softeng.polito.it/rsctx#	true	false	true
