instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://sparql.cwrc.ca/ontologies/cwrc#heterosexual	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#homosexual	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#lesbian	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#sexualityBisexuality	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#sexualityCelibacy	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#sexualityFrigidity	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#sexualityLibertinism	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#sexualityPromiscuity	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#Sexuality	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#bohemianism	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
http://sparql.cwrc.ca/ontologies/cwrc#brahmin	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://www.w3.org/2004/02/skos/core#Concept	http://sparql.cwrc.ca/ontologies/cwrc#SocialClass	http://sparql.cwrc.ca/ontologies/cwrc	http://sparql.cwrc.ca/ontologies/cwrc#	http://sparql.cwrc.ca/ontologies/cwrc#	true	true	true
