instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://umbel.org/umbel#AutomaticInspectedSMatch	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#AutomaticInspectedSV	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#AutomaticNotSpecified	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#ExternalDBOntologyMapping	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#ExternalGeoNamesMapping	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#ExternalOpenCycMapping	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#HeuristicListOfBasis	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#HeuristicNotSpecified	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#ManualNearlyEquivalent	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
http://umbel.org/umbel#ManualSimilarSense	http://umbel.org/umbel#Qualifier	-	-	http://umbel.org/umbel	http://umbel.org/umbel#	http://umbel.org/umbel#	true	false	true
