instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://vcharpenay.github.io/hto/hto.xml#ahu	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#air	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#boiler	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#bypass	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#chilled	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#chiller	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#cmd	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#co2	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#condenser	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#cool	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#cooling	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#damper	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#delta	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#discharge	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#effective	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#efficiency	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#elec	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#enable	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
http://vcharpenay.github.io/hto/hto.xml#energy	http://vcharpenay.github.io/hto/hto.xml#HTag	-	-	http://vcharpenay.github.io/hto/hto.xml	http://vcharpenay.github.io/hto/hto.xml#	http://vcharpenay.github.io/hto/hto.xml#	true	false	true
