instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://vivoweb.org/ontology/core#yearMonthDayPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	true
http://vivoweb.org/ontology/core#yearMonthDayTimePrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	true
http://vivoweb.org/ontology/core#yearMonthPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	true
http://vivoweb.org/ontology/core#yearPrecision	http://vivoweb.org/ontology/core#DateTimeValuePrecision	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	true
http://purl.obolibrary.org/obo/ARG_2000400	http://purl.obolibrary.org/obo/UO_0000280	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.obolibrary.org/obo/	false	false	false
http://purl.org/ontology/bibo/accepted	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://purl.org/ontology/bibo/draft	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://purl.org/ontology/bibo/peerReviewed	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://purl.org/ontology/bibo/published	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://purl.org/ontology/bibo/rejected	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://purl.org/ontology/bibo/unpublished	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://purl.org/ontology/bibo/	false	false	false
http://vivoweb.org/ontology/core#inPress	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	false
http://vivoweb.org/ontology/core#invited	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	false
http://vivoweb.org/ontology/core#submitted	http://purl.org/ontology/bibo/DocumentStatus	-	-	http://vivoweb.org/ontology/core	http://vivoweb.org/ontology/core#	http://vivoweb.org/ontology/core#	true	false	false
