instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://vocab.deri.ie/orca#Data	http://vocab.deri.ie/orca#Basis	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#Reasoning	http://vocab.deri.ie/orca#Basis	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#Unidentified	http://vocab.deri.ie/orca#Basis	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#DoxasticKnowledge	http://vocab.deri.ie/orca#ConfidenceLevel	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#DubitativeKnowledge	http://vocab.deri.ie/orca#ConfidenceLevel	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#HypotheticalKnowledge	http://vocab.deri.ie/orca#ConfidenceLevel	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#LackOfKnowledge	http://vocab.deri.ie/orca#ConfidenceLevel	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#AuthorExplicitly	http://vocab.deri.ie/orca#Source	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#AuthorImplicitly	http://vocab.deri.ie/orca#Source	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#NamedExternalSource	http://vocab.deri.ie/orca#Source	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#NamelessExternalSource	http://vocab.deri.ie/orca#Source	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
http://vocab.deri.ie/orca#NoSource	http://vocab.deri.ie/orca#Source	-	-	http://vocab.deri.ie/orca	http://vocab.deri.ie/orca#	http://vocab.deri.ie/orca#	true	false	true
