instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://w3id.org/charta77/jup/WCMKPOForm	http://w3id.org/charta77/jup/MappableEntityForm	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/MappableEntityMKPOFormsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/WeddingHallObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/WellnessObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/WinterStadiumObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/YesWCSwitch	http://w3id.org/charta77/jup/WCSwitch	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCSwitchesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/ZooObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MechanicalDoorOpening	http://w3id.org/charta77/jup/DoorOpening	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/DoorOpeningsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MechanicalWCFlushing	http://w3id.org/charta77/jup/WCFlushing	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCFlushingsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MedicalEmergencyObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MedicalSupplyObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MetropolitanPoliceObjectCategory	http://w3id.org/charta77/jup/ObjectCategory	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ObjectCategoriesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MezzaninesElevatorDriveOff	http://w3id.org/charta77/jup/ElevatorDriveOff	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ElevatorDriveOffsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MissingBellType	http://w3id.org/charta77/jup/BellType	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/BellTypesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MissingContrastMarkingLocalization	http://w3id.org/charta77/jup/ContrastMarkingLocalization	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/ContrastMarkingLocalizationsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MissingEntranceGuidingLine	http://w3id.org/charta77/jup/EntranceGuidingLine	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/EntranceGuidingLinesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MissingHandlePosition	http://w3id.org/charta77/jup/HandlePosition	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/HandlePositionsScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MissingWCSwitch	http://w3id.org/charta77/jup/WCSwitch	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCSwitchesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MobileRampSkidsMobility	http://w3id.org/charta77/jup/RampSkidsMobility	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/RampSkidsMobilitiesScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
http://w3id.org/charta77/jup/MobileWCChangingDesk	http://w3id.org/charta77/jup/WCChangingDesk	http://www.w3.org/2004/02/skos/core#Concept	http://w3id.org/charta77/jup/WCChangingDesksScheme	http://w3id.org/charta77/jup	http://w3id.org/charta77/jup/	http://w3id.org/charta77/jup/	true	false	true
