instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://w3id.org/nfdi4ing/metadata4ing#ContactPerson	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#DataCollector	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#DataCurator	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#DataManager	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Distributor	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Editor	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#HostingInstitution	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Other	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Producer	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#ProjectLeader	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#ProjectManager	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#ProjectMember	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#RegistrationAgency	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#RegistrationAuthority	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#RelatedPerson	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Researcher	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#ResearchGroup	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#RightsHolder	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Sponsor	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#Supervisor	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
http://w3id.org/nfdi4ing/metadata4ing#WorkPackageLeader	http://www.w3.org/ns/prov#Role	-	-	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	http://w3id.org/nfdi4ing/metadata4ing#	true	false	false
