instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://w3id.org/um/cbcm/eu-cm-ontology#iceland	http://w3id.org/um/cbcm/eu-cm-ontology#EEACountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#liechtenstein	http://w3id.org/um/cbcm/eu-cm-ontology#EEACountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#norway	http://w3id.org/um/cbcm/eu-cm-ontology#EEACountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#switzerland	http://w3id.org/um/cbcm/eu-cm-ontology#EEACountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#austria	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#belgium	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#bulgaria	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#croatia	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#cyprus	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
http://w3id.org/um/cbcm/eu-cm-ontology#czechia	http://w3id.org/um/cbcm/eu-cm-ontology#EUCountry	-	-	http://w3id.org/um/cbcm/eu-cm-ontology	http://w3id.org/um/cbcm/eu-cm-ontology#	http://w3id.org/um/cbcm/eu-cm-ontology#	true	false	true
