instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://w3id.org/vcb/fel#AliasProperForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#CommonForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#ExtendedProperForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#FullProperForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#NumericTemporalForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#ProForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#ProperForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#ShortProperForm	http://w3id.org/vcb/fel#BaseFormClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#IntermediateOverlap	http://w3id.org/vcb/fel#OverlapClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#MaximalOverlap	http://w3id.org/vcb/fel#OverlapClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#MinimalOverlap	http://w3id.org/vcb/fel#OverlapClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#NoOverlap	http://w3id.org/vcb/fel#OverlapClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#AdjectivePoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#AdverbPoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#NounPhrasePoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#PluralNounPhrasePoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#SingularNounPhrasePoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#VerbPoS	http://w3id.org/vcb/fel#PartOfSpeechClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#AnaphoricReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#DescriptiveReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#DirectReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#MetaphoricReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#MetonymicReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
http://w3id.org/vcb/fel#RelatedReference	http://w3id.org/vcb/fel#ReferenceClass	-	-	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	http://w3id.org/vcb/fel#	true	false	true
