instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.bbc.co.uk/ontologies/creativework/InternationalAudience	http://www.bbc.co.uk/ontologies/creativework/Audience	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/NationalAudience	http://www.bbc.co.uk/ontologies/creativework/Audience	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/AudioFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/ImageFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/InteractiveFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/PictureGalleryFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/TextualFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/VideoFormat	http://www.bbc.co.uk/ontologies/creativework/Format	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/CloseUpThumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/FixedSize144Thumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/FixedSize224Thumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/FixedSize226Thumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/FixedSize464Thumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/FixedSize66Thumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
http://www.bbc.co.uk/ontologies/creativework/StandardThumbnail	http://www.bbc.co.uk/ontologies/creativework/ThumbnailType	-	-	http://www.bbc.co.uk/ontologies/creativework	http://www.bbc.co.uk/ontologies/creativework/	http://www.bbc.co.uk/ontologies/creativework/	true	false	true
