instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.data-knowledge.org/dk/	-	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/ApplicationLifecycle	http://purl.org/vocab/lifecycle/schema#Lifecycle	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/KnowledgeLifecycle	http://purl.org/vocab/lifecycle/schema#Lifecycle	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/hasApplicationLifecycle	http://www.w3.org/2000/01/rdf-schema#Property	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/hasDataLifecycle	http://www.w3.org/2000/01/rdf-schema#Property	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/hasKnowledgeLifecycle	http://www.w3.org/2000/01/rdf-schema#Property	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/hasTerms	http://www.w3.org/2000/01/rdf-schema#Property	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/hasTerms	http://www.w3.org/ns/odrl/2/hasPolicy	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/DataAsset	http://www.w3.org/ns/odrl/2/Asset	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/DataAsset	http://www.w3.org/ns/dcat#DataSet	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/TermsOfUse	http://www.w3.org/ns/odrl/2/Policy	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/DataLifecycle	http://purl.org/vocab/lifecycle/schema#Lifecyle	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/BusinessObjectDomain	http://www.data-knowledge.org/dk/DataConceptualization	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	true
http://www.data-knowledge.org/dk/BusinessObjectType	http://www.data-knowledge.org/dk/DataConceptualization	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	true
http://www.data-knowledge.org/dk/BusinessObjectTypeAttribute	http://www.data-knowledge.org/dk/DataConceptualization	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	true
http://www.data-knowledge.org/dk/computedOn	http://www.w3.org/ns/dqv#computedOn	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/isMeasurementOf	http://www.w3.org/ns/dqv#isMeasurementOf	-	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
http://www.data-knowledge.org/dk/DataConceptualization	-	http://www.w3.org/2004/02/skos/core#Concept	-	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	http://www.data-knowledge.org/dk/	true	false	false
