instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/dc/terms/DCMIType	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/DDC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/IMT	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/LCC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/LCSH	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/MESH	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/NLM	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/TGN	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/UDC	http://purl.org/dc/dcam/VocabularyEncodingScheme	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://purl.org/dc/terms/Agent	http://purl.org/dc/terms/AgentClass	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://purl.org/dc/terms/	false	false	false
http://www.demcare.eu/ontologies/demlab.owl#completed	http://www.demcare.eu/ontologies/demlab.owl#ActivityStatusType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
http://www.demcare.eu/ontologies/demlab.owl#incomplete	http://www.demcare.eu/ontologies/demlab.owl#ActivityStatusType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
http://www.demcare.eu/ontologies/demlab.owl#omitted	http://www.demcare.eu/ontologies/demlab.owl#ActivityStatusType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
http://www.demcare.eu/ontologies/demlab.owl#dementia	http://www.demcare.eu/ontologies/demlab.owl#DiagnosisType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
http://www.demcare.eu/ontologies/demlab.owl#healthy	http://www.demcare.eu/ontologies/demlab.owl#DiagnosisType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
http://www.demcare.eu/ontologies/demlab.owl#predementia	http://www.demcare.eu/ontologies/demlab.owl#DiagnosisType	-	-	http://www.demcare.eu/ontologies/demlab.owl	http://www.demcare.eu/ontologies/demlab.owl#	http://www.demcare.eu/ontologies/demlab.owl#	true	false	true
