instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://purl.org/spar/cito/citesAsAuthority	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsAuthority	http://www.essepuntato.it/2013/03/cito-functions/RhetoricalFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsDataSource	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsEvidence	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsEvidence	http://www.essepuntato.it/2013/03/cito-functions/RhetoricalFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsMetadataDocument	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesAsSourceDocument	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/citesForInformation	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/compiles	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/containsAssertionFrom	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/containsAssertionFrom	http://www.essepuntato.it/2013/03/cito-functions/RhetoricalFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/documents	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
http://purl.org/spar/cito/givesBackgroundTo	http://www.essepuntato.it/2013/03/cito-functions/FactualFunction	-	-	http://www.essepuntato.it/2013/03/cito-functions	http://www.essepuntato.it/2013/03/cito-functions/	http://purl.org/spar/cito/	false	false	true
