instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/2002/07/owl#deprecated	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#backwardCompatibleWith	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#incompatibleWith	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#priorVersion	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#versionInfo	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#Thing	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#Nothing	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#topDataProperty	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#bottomDataProperty	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#topObjectProperty	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#bottomObjectProperty	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/	false	false	false
http://www.w3.org/2002/07/owl#versionIRI	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
http://www.w3.org/2002/07/owl#imports	-	-	-	http://www.w3.org/2002/07/owl	http://www.w3.org/2002/07/owl#	http://www.w3.org/2002/07/owl#	true	false	false
