instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/2004/09/fresnel#defaultLens	http://www.w3.org/2004/09/fresnel#Purpose	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#labelLens	http://www.w3.org/2004/09/fresnel#Purpose	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#member	http://www.w3.org/2004/09/fresnel#ConvienceProperty	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#none	http://www.w3.org/2004/09/fresnel#LabellingFormat	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#show	http://www.w3.org/2004/09/fresnel#LabellingFormat	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#allProperties	http://www.w3.org/2004/09/fresnel#PropertySet	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#externalLink	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#image	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#replacedResource	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
http://www.w3.org/2004/09/fresnel#uri	http://www.w3.org/2004/09/fresnel#PropertyValueStyle	-	-	http://www.w3.org/2004/09/fresnel	http://www.w3.org/2004/09/fresnel#	http://www.w3.org/2004/09/fresnel#	true	false	true
