instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage_42	http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage_43	http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage_44	http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage_9	http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#WCSS11	http://www.w3.org/2007/uwa/context/web.owl#StyleLanguage	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.example.org/2007/uwa/context/examples.owl#WebBrowser_x	http://www.w3.org/2007/uwa/context/web.owl#WebBrowser	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.example.org/2007/uwa/context/examples.owl#	false	false	false
http://www.example.org/2007/uwa/context/examples.owl#WebBrowser_y	http://www.w3.org/2007/uwa/context/web.owl#WebBrowser	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.example.org/2007/uwa/context/examples.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#DomLevel0	http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#DOMLevel3Events	http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi_5	http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi_DOM_LEVEL_1	http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi_DOM_LEVEL2_CORE	http://www.w3.org/2007/uwa/context/web.owl#WebBrowserApi	-	-	http://www.w3.org/2007/uwa/context/deliverycontext.owl	http://www.w3.org/2007/uwa/context/common.owl#	http://www.w3.org/2007/uwa/context/web.owl#	false	false	false
