instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/ns/oa#commenting	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#assessing	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#bookmarking	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#classifying	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#describing	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#editing	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#highlighting	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#identifying	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#linking	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#moderating	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#questioning	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#replying	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#tagging	http://www.w3.org/ns/oa#Motivation	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#ltrDirection	http://www.w3.org/ns/oa#Direction	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
http://www.w3.org/ns/oa#rtlDirection	http://www.w3.org/ns/oa#Direction	-	-	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	http://www.w3.org/ns/oa#	true	false	true
