instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://www.w3.org/ns/shacl#AndConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#ClassConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#ClosedConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#DatatypeConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#DisjointConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#EqualsConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#ExpressionConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#HasValueConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#InConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#JSConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#LanguageInConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#LessThanConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#LessThanOrEqualsConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MaxCountConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MaxExclusiveConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MaxInclusiveConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MaxLengthConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MinCountConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
http://www.w3.org/ns/shacl#MinExclusiveConstraintComponent	http://www.w3.org/ns/shacl#ConstraintComponent	-	-	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	http://www.w3.org/ns/shacl#	true	false	true
