instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
http://xmlns.com/foaf/0.1/Agent	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Document	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Group	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Image	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/LabelProperty	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/OnlineAccount	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/OnlineChatAccount	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/OnlineEcommerceAccount	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/OnlineGamingAccount	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Organization	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Person	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/PersonalProfileDocument	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
http://xmlns.com/foaf/0.1/Project	-	-	-	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	http://xmlns.com/foaf/0.1/	true	false	false
