instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://saref.etsi.org/core/Cleaning	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Comfort	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Drying	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/EnergyEfficiency	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Entertainment	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Lighting	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/MeterReading	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Safety	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/Washing	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
https://saref.etsi.org/core/WellBeing	https://saref.etsi.org/core/Task	-	-	https://saref.etsi.org/core/	https://saref.etsi.org/core/	https://saref.etsi.org/core/	true	false	true
