instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://saref.etsi.org/saref4agri/IrrigationWater	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
https://saref.etsi.org/saref4agri/PlantGrowthStage	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
https://saref.etsi.org/saref4agri/Precipitation	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
https://saref.etsi.org/saref4agri/SoilMoisture	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
http://www.ontology-of-units-of-measure.org/resource/om-2/degreeCelsius	https://saref.etsi.org/core/UnitOfMeasure	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	http://www.ontology-of-units-of-measure.org/resource/om-2/	false	false	false
http://www.ontology-of-units-of-measure.org/resource/om-2/millibar	https://saref.etsi.org/core/UnitOfMeasure	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	http://www.ontology-of-units-of-measure.org/resource/om-2/	false	false	false
http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre	https://saref.etsi.org/core/UnitOfMeasure	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	http://www.ontology-of-units-of-measure.org/resource/om-2/	false	false	false
http://www.ontology-of-units-of-measure.org/resource/om-2/millivolt	https://saref.etsi.org/core/UnitOfMeasure	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	http://www.ontology-of-units-of-measure.org/resource/om-2/	false	false	false
http://dbpedia.org/resource/DBM	https://saref.etsi.org/core/UnitOfMeasure	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	http://dbpedia.org/resource/	false	false	false
https://saref.etsi.org/saref4agri/AmbientHumidity	https://saref.etsi.org/core/Humidity	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
https://saref.etsi.org/saref4agri/AirTemperature	https://saref.etsi.org/core/Temperature	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
https://saref.etsi.org/saref4agri/SoilTemperature	https://saref.etsi.org/core/Temperature	-	-	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	https://saref.etsi.org/saref4agri/	true	false	false
