instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://saref.etsi.org/saref4ehaw/Old	https://saref.etsi.org/saref4ehaw/AgeCategory	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Young	https://saref.etsi.org/saref4ehaw/AgeCategory	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/AssistedLiving	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Emergency	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Healthcare	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/PervasiveComputing	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Prevention	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Safety	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/SportTraining	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
https://saref.etsi.org/saref4ehaw/Telemedicine	https://saref.etsi.org/saref4ehaw/BanApplicationDomain	-	-	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	https://saref.etsi.org/saref4ehaw/	true	false	true
