instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://saref.etsi.org/saref4ener/Emergency	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Emergency	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Increase	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Increase	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Normal	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Normal	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Pause	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Pause	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Reduce	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Reduce	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Resume	https://saref.etsi.org/saref4ener/EventActionConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Resume	https://saref.etsi.org/saref4ener/EventActionProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventAccepted	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventAccepted	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventCancelled	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventCancelled	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventError	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventError	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventRejected	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventRejected	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventStarted	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventStarted	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventStopped	https://saref.etsi.org/saref4ener/EventStateConsume	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/EventStopped	https://saref.etsi.org/saref4ener/EventStateProduce	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Completed	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Inactive	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Invalid	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Paused	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Pending	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Running	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/Scheduled	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
https://saref.etsi.org/saref4ener/ScheduledPaused	https://saref.etsi.org/saref4ener/PowerSequenceState	-	-	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	https://saref.etsi.org/saref4ener/	true	false	true
