instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://saref.etsi.org/saref4envi/Frequency	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	true	false	false
https://saref.etsi.org/saref4envi/Height	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	true	false	false
https://saref.etsi.org/saref4envi/Period	https://saref.etsi.org/core/Property	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	true	false	false
http://www.wurvoc.org/vocabularies/om-1.8/hertz	https://saref.etsi.org/saref4envi/FrequencyUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/reciprocal_day	https://saref.etsi.org/saref4envi/FrequencyUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/reciprocal_hour	https://saref.etsi.org/saref4envi/FrequencyUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/reciprocal_second-time	https://saref.etsi.org/saref4envi/FrequencyUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/reciprocal_year	https://saref.etsi.org/saref4envi/FrequencyUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/centimetre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/decametre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/decimetre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/hectometre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/kilometre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
http://www.wurvoc.org/vocabularies/om-1.8/metre	https://saref.etsi.org/saref4envi/LengthUnit	-	-	https://saref.etsi.org/saref4envi/	https://saref.etsi.org/saref4envi/	http://www.wurvoc.org/vocabularies/om-1.8/	false	false	true
