instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://www.upm.es/	http://schema.org/Organization	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://www.upm.es/	false	false	false
http://www.garcia-castro.com/foaf.rdf#me	http://schema.org/Person	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	http://www.garcia-castro.com/foaf.rdf#	false	false	false
https://saref.etsi.org/saref4watr/Colour	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Conductivity	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Hardness	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/HydrogenIonConcentration	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Odour	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Oxidisability	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Taste	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Temperature	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/TotalDissolvedSolids	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/TotalIndicativeDose	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/TotalSuspendedSolids	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Turbidity	https://saref.etsi.org/saref4watr/AcceptabilityProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/ClostridiumPerfringens	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/ColiformBacteria	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/ColonyCount22C	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/ColonyCount37C	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/Enterococci	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
https://saref.etsi.org/saref4watr/EscherichiaColi	https://saref.etsi.org/saref4watr/BacterialProperty	-	-	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	https://saref.etsi.org/saref4watr/	true	false	true
