instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://w3id.org/arco/ontology/context-description/DecentReliability	https://w3id.org/arco/ontology/context-description/Reliability	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/ExcellentReliability	https://w3id.org/arco/ontology/context-description/Reliability	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/GoodReliability	https://w3id.org/arco/ontology/context-description/Reliability	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/InsufficientReliability	https://w3id.org/arco/ontology/context-description/Reliability	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/AerialPhotograph	https://w3id.org/arco/ontology/context-description/SurveyImageType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/SatellitePhotograph	https://w3id.org/arco/ontology/context-description/SurveyImageType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/AlternativeTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/AttributedTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/HistoricizedTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/MainTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/OriginalTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
https://w3id.org/arco/ontology/context-description/ParallelTitle	https://w3id.org/arco/ontology/context-description/TitleType	-	-	https://w3id.org/arco/ontology/context-description	https://w3id.org/arco/ontology/context-description/	https://w3id.org/arco/ontology/context-description/	true	false	true
