instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://w3id.org/iot-tta/#Cloud_Photon1	https://w3id.org/iot-tta/#Particle_cloud	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Cloud_Photon2	https://w3id.org/iot-tta/#Particle_cloud	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Photon1	https://w3id.org/iot-tta/#Particle_Photon	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Photon2	https://w3id.org/iot-tta/#Particle_Photon	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#RTD3	https://w3id.org/iot-tta/#RTD_sensor	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#RTD4	https://w3id.org/iot-tta/#RTD_sensor	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#RTD5	https://w3id.org/iot-tta/#RTD_sensor	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#RTDsensor1	https://w3id.org/iot-tta/#RTD_sensor	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#RTDsensor2	https://w3id.org/iot-tta/#RTD_sensor	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#SCADA_application	https://w3id.org/iot-tta/#SCADA	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#SCADA_system	https://w3id.org/iot-tta/#SCADA	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Long-distance_communication	https://w3id.org/iot-tta/#SCADA_capability	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#BACnet	https://w3id.org/iot-tta/#SCADA_common_protocol	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Modbus	https://w3id.org/iot-tta/#SCADA_common_protocol	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Data_security_risk	https://w3id.org/iot-tta/#SCADA_problem	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Threats_at_critical_infrastructure	https://w3id.org/iot-tta/#SCADA_problem	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#End-to-end_encryption	https://w3id.org/iot-tta/#SCADA_solution	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Strong_authentication	https://w3id.org/iot-tta/#SCADA_solution	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Ethernet	https://w3id.org/iot-tta/#SCADA_today_protocol	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#TCP_IP	https://w3id.org/iot-tta/#SCADA_today_protocol	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Thingspeak1	https://w3id.org/iot-tta/#Subscriber	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Thingspeak2	https://w3id.org/iot-tta/#Subscriber	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Apache_Hadoop	https://w3id.org/iot-tta/#Tool	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Apache_IoT_edge	https://w3id.org/iot-tta/#Tool	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Azure_IoT_edge	https://w3id.org/iot-tta/#Tool	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#Hadoop	https://w3id.org/iot-tta/#Tool	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
https://w3id.org/iot-tta/#MapReduce	https://w3id.org/iot-tta/#Tool	-	-	https://w3id.org/iot-tta/	https://w3id.org/iot-tta/#	https://w3id.org/iot-tta/#	true	false	true
