instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://w3id.org/seas/	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/	https://w3id.org/seas/	true	false	false
t415667	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415668	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415669	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415670	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415671	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415672	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415673	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415686	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
t415691	-	-	-	https://w3id.org/seas/	https://w3id.org/seas/		false	false	false
