instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://w3id.org/skgo/modsci#Community_of_European_Solar_Radio_Astronomers	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#E3G	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#EACSL	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Fraunhofer	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#NASA	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#OpenAI_Inc	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#The_Bridges_Organization	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#The_Fibonacci_Association	https://w3id.org/skgo/modsci#ScientificOrganization	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Evangelista_Torricelli	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Friedrich_Drexler	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Guglielmo_Marconi	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Isaac_Newton	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Johann_Schweigger	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Julius_von_Mayer	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Michael_Faraday	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Olaus_Roemer	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Thomas_Edison	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
https://w3id.org/skgo/modsci#Waldemar_Jungner	https://w3id.org/skgo/modsci#Scientist	-	-	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	https://w3id.org/skgo/modsci#	true	false	true
