instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://w3id.org/squap/SoftwareQuality/Testability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/TimeBehaviour	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Transferability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/TransferabilityCompliance	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Trust	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/UsabilityInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/UsabilityInUseCompliance	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureDescription	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureFramework	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureModel	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureRational	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureView	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ArchitectureViewpoint	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/Concern	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/Correspondence	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/CorrespondenceRules	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/Environment	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ModelKind	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/ObjectiveCharacteristic	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/Stakeholder	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/SubjectiveCharacteristic	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ArchitecturalAlignment/System-of-Interest	https://w3id.org/squap/ArchitecturalAlignment	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ArchitecturalAlignment/	false	false	false
https://w3id.org/squap/ProcessMaturity/Acquisition	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Audit	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/ConfigurationManagement	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Development	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Documentation	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Improvement	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Infrastructure	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/JointReview	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Maintenance	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Management	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Operation	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Organisational	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Primary	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/ProblemResolution	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/QualityAssurance	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Supply	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Supporting	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Training	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Validation	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/ProcessMaturity/Verification	https://w3id.org/squap/ProcessMaturity	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/ProcessMaturity/	false	false	false
https://w3id.org/squap/SoftwareQuality/AccessibilityInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Accountability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Accuracy	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Adaptability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Analysability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Appropriateness	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/AppropriatenessRecognisability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Attractiveness	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Authenticity	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Availability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Changeability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Co-existence	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Comfort	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/CommercialDamageInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Compatibility	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/CompatibilityCompliance	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/Confidentiality	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/ContextConformityInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/ContextExtendibilityInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/EaseOfUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/EffectivenessInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/EfficiencyInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/EnvironmentalHarmInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FaultTolerance	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FlexibilityInUse	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FlexibilityInUseCompliance	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FunctionalAppropriateness	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FunctionalCompleteness	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FunctionalCorrectness	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
https://w3id.org/squap/SoftwareQuality/FunctionalSuitability	https://w3id.org/squap/SoftwareQuality	-	-	https://w3id.org/squap/	https://w3id.org/squap/SoftwareQuality/	https://w3id.org/squap/SoftwareQuality/	true	false	false
