instance	class	skosConcept	skosConceptScheme	ontology	ontology vann:namespace	instance namespace	instance is in ontology namespace	class is scheme	class is in ontology namespace
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Cloud	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Fog	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Hail	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#LightCloud	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#LightRainSun	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#PartlyCloud	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Rain	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Sleet	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Snow	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Sun	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Thunder	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherCondition	-	-	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl	https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#	false	false	true
