instance	class	skos	ontology	ontology vann:namespace	instance namespace
http://aims.fao.org/aos/geopolitical.owl#Bahrain	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Bangladesh	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Barbados	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Belarus	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Belgium	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Belize	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Benin	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Bhutan	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Bolivia	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Bosnia_and_Herzegovina	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Botswana	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Brazil	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Bulgaria	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Burundi	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Cambodia	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Cameroon	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Canada	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Cape_Verde	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Chad	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Chile	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#China	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Colombia	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Comoros_the	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Congo_the	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
http://aims.fao.org/aos/geopolitical.owl#Cook_Islands_the	http://aims.fao.org/aos/geopolitical.owl#self_governing	0	http://aims.fao.org/aos/geopolitical.owl	http://aims.fao.org/aos/geopolitical.owl#	http://aims.fao.org/aos/geopolitical.owl#
